,word_count,unique_words,lexical_diversity,avg_word_length,hapax_legomena,avg_sentence_length,prop_nouns,prop_verbs,prop_adjectives,prop_adverbs,prop_pronouns,exclamations,questions,ellipses
cleaned_tp0201.txt,16481,2584,0.15678660275468723,3.6036041502336023,1457,10.431012658227848,3014,1743,1311,478,12,15,208,115
cleaned_tp0202.txt,8391,1775,0.211536169705637,3.647002741032058,1070,7.916981132075471,1688,862,689,255,5,9,110,21
cleaned_tp0203.txt,8340,1647,0.1974820143884892,3.5471223021582734,962,9.641618497109826,1493,862,609,243,7,4,114,41
cleaned_tp0204.txt,7174,1541,0.21480345692779482,3.6016169500975748,928,8.685230024213075,1332,712,549,203,8,3,118,40
cleaned_tp0205.txt,8373,1824,0.2178430670010749,3.776424220709423,1106,9.547320410490308,1676,873,693,270,8,3,88,59
cleaned_tp0206.txt,7850,1684,0.21452229299363057,3.6034394904458598,1012,8.495670995670995,1439,787,652,222,5,14,98,42
cleaned_tp0207.txt,6509,1275,0.19588262405899523,3.501766784452297,702,9.572058823529412,1148,681,469,166,5,7,115,37
cleaned_tp0208.txt,7450,1467,0.19691275167785235,3.5189261744966442,855,9.973226238286479,1327,785,591,215,5,15,105,91
cleaned_tp0209.txt,8724,1607,0.18420449335167355,3.5604080696928015,907,8.706586826347305,1556,887,681,224,8,13,117,120
cleaned_tp0210.txt,9031,1957,0.21669804008415458,3.6545233086036983,1195,9.88074398249453,1598,947,718,248,10,15,104,24
cleaned_tp0211.txt,8907,1976,0.22184798473111036,3.75322779836084,1243,10.344947735191637,1613,905,744,277,9,7,105,55
cleaned_tp0212.txt,8762,1780,0.20314996576124172,3.6497375028532297,1026,9.431646932185146,1629,905,696,241,9,18,119,44
cleaned_tp0213.txt,8257,1716,0.20782366476928665,3.694441080295507,979,8.538779731127198,1575,871,747,246,11,30,98,37
cleaned_tp0214.txt,7785,1538,0.19755940912010275,3.6015414258188825,857,9.854430379746836,1412,856,597,219,3,9,76,47
cleaned_tp0215.txt,8585,1794,0.20896913220733837,3.666045428072219,1079,8.787103377686796,1639,866,710,259,8,4,100,59
cleaned_tp0216.txt,8506,1712,0.20126969198213027,3.538913707970844,1036,9.925320886814468,1452,871,622,261,7,15,75,59
cleaned_tp0217.txt,8087,1765,0.21825151477680227,3.75231853592185,1072,11.093278463648835,1435,836,683,285,6,5,70,111
cleaned_tp0218.txt,7428,1586,0.21351642434033388,3.606488960689284,956,8.51834862385321,1320,781,595,231,3,3,106,26
cleaned_tp0219.txt,8116,1760,0.21685559388861508,3.647732873336619,1061,9.09865470852018,1486,818,716,239,3,18,104,74
cleaned_tp0220.txt,8544,1863,0.21804775280898878,3.706577715355805,1097,8.927899686520377,1605,889,758,269,10,19,84,64
cleaned_tp0221.txt,8806,1832,0.2080399727458551,3.7374517374517375,1098,10.372202591283864,1509,909,756,294,21,15,78,83
cleaned_tp0222.txt,6972,1489,0.21356855995410212,3.607142857142857,899,9.149606299212598,1301,699,612,189,10,22,85,57
